title,salary,company_name,company_rating,job_type
Research Assistant /Associate in Machine Learning for Imaging,£500 - £600 a week,Imperial College London,4.2,South Kensington
Data Science Engineer Manager,Permanent,Morgan McKinley,3.7,London
Data Analytics Manager,"£38,474 - £44,414 a year",Reed Exhibitions,3.6,Richmond
Machine Learning/Computer Vision Scientist (Home W,Permanent,re&m,Nan,Remote in London
Senior Data Scientist,Full-time,Robert Walters,3.7,London
Senior Data Scientist,"£30,636 - £34,331 a year",Fruition IT,4.6,Hybrid remote in Leeds
"Senior Applied Scientist, Machine Learning and Engineering","Full-time
+1",Amazon EU SARL (UK Branch),3.5,London
"Researcher, Machine Learning Fairness",Full-time,ByteDance,4.1,London
Contract Data Science and Machine Learning SME IRC188351,Full-time,GlobalLogic,Nan,Hybrid remote in London
Research Associate in Sensor Systems and Machine Learning for Delivering Next Generation Crops & Sustainable Food,£19.58 an hour,The University of Manchester,4.3,Hybrid remote in Manchester M13
Senior Data Scientist,"Part-time
+1",MBN Recruitment Solutions,Nan,Hybrid remote in London
"Executive, Data Analytics, Valuations, Modelling & Economics, London","Full-time
+1",EY,3.9,London SE1
"Director of Data Science, Operations",Full-time,Monzo,3.7,Remote in London
Chief of Data & AI,Permanent,Understanding Recruitment,Nan,London
"Machine Learning Engineer; Computer Vision, Data S","£35,000 - £70,000 a year",re&m,Nan,London
Analytics Manager,Permanent,Defence Equipment & Support,3.6,Hybrid remote in Bristol
Senior Director Data Science,"£155,000 - £165,000 a year",Provenir Inc.,Nan,Remote
Lead Data Scientist,Permanent,Proactive IT,Nan,Remote in London
AI-Quant - Intermediate,Full-time,Crypton Partner Management,Nan,London W1D
Research Assistant/Associate in IMAXT/PBCI Imaging Data Science,Weekend availability,University of Cambridge,4.1,Cambridge
Principal Data Scientist,"£61,940 - £66,748 a year",Priceline.com,Nan,Edinburgh
Chief of Data Science and AI,"Full-time
+2",Understanding Recruitment,Nan,London
Machine Learning Algorithm Developer,"£33,348 - £43,155 a year",MBDA,3.8,Hybrid remote in Bristol BS34
Machine Learning Engineer / Remote/ $High,"Full-time
+1",Eka Finance,Nan,Remote in London
Senior Data Scientist (Retail/Ecommerce),"£50,000 a year",MBN Recruitment Solutions,Nan,London
IR147705 - Senior Specialist Analyst - Data Science & Systems Development,Permanent,NHS Scotland,3.5,Aberdeen AB15
Lead Data Scientist,"£45,737 - £52,841 a year",Risk Solutions,3.9,Wales
MACHINE LEARNING SPECIALIST,Full-time,DataSpartan Consulting,Nan,London
Lead Architect AI/ML,"£40,809 - £49,818 a year",Shell,3.9,London
Post-Doctoral Research Associate in Medical Image Analysis and Causal Machine Learning,"Full-time
+1",University of Lincoln,4.0,Lincoln
Quantitative Researcher in Natural Language Processing (NLP),"£110,000 - £130,000 a year",G-Research,4.0,London
Lecturer (Teaching) in Data Science & Signal Processing,Permanent,University College London,4.1,London
Senior Data Scientist,"£54,949 - £63,673 a year",Willis Towers Watson,3.6,Hybrid remote in London
UKI Assurance - Forensic Data Analytics - Data Scientist - Manager - London,Permanent,EY,3.9,London SE1
Data Science Manager,"£50,000 - £80,000 a year",MBN Recruitment Solutions,Nan,Hybrid remote in London
Head of Data and Analytics,Permanent,Expleo,3.1,Hybrid remote in Preston PR1
"Manager, Data Science","£30,317 - £32,803 a year",National Grid,3.7,Hybrid remote in Warwick CV34
Head of Data Science,"Full-time
+2",Harnham,4.6,London
Lead NLP Data Scientist,"£36,333 - £43,155 a year",Harnham,4.6,London
"Senior Data Lead, People & Operations Analytics",Full-time,Mars,3.8,London W1D
Pricing Data Scientist (Motor),"£85,000 a year",Eames Consulting,4.3,London
ML Engineer - Applied Science,Permanent,MBN Recruitment Solutions,Nan,Hybrid remote in London
Lead Data Scientist (NLP),"£50,000 - £52,000 a year",Harnham,4.6,London
Senior Data Scientist,Permanent,Nigel Frank International Limited,2.8,Guildford
Big Data Scientist,Full-time,Nexus Recruitment,Nan,Manchester
Unique PhD Graduate Program – Virtual Analytics Network (Remote),"£50,000 - £53,500 a year",Novartis,4.1,Remote in United Kingdom
Data Science Engineer,"Full-time
+1",Morgan McKinley,3.7,Hybrid remote in London
Chief of Data and AI - Remote - Competitive Salary,"£80,000 - £100,000 a year",Explore Group,4.4,Remote in London
Data Science Manager (London or Leeds),"£100,000 - £120,000 a year",Harnham,4.6,Remote in London
Applied AI Lead - Vice President - Digital Investment Bank - London,Permanent,"JPMorgan Chase Bank, N.A.",4.1,London
Principal Data Scientist – Customer,Permanent,Haleon,Nan,Weybridge
Machine Learning Engineer,"£25,000 - £85,000 a year",Kwalee,4.1,Hybrid remote in Leamington Spa
Senior Data Scientist,"£35,308 - £43,155 a year",Artefact,Nan,London
Lead Data Scientist,Fixed term contract,Fruition IT,4.6,Hybrid remote in Leeds
Machine Learning Equity Quant Researcher/ Flexible Location,"£28,929 - £29,762 a year",Eka Finance,Nan,London
Sr. Data Scientist,"Full-time
+1",Galytix,Nan,London
PHD NLP Quant Specialists,"£47,004 - £55,431 a year",Eka Finance,Nan,London
Audience Measurement - Senior Data Scientist,Permanent,Ipsos,3.8,London
"Computational Scientist (Digital Data, Large Molecule Research)","Full-time
+1",Sanofi,4.1,Cambridge
Head of Data Analytics & Insights,Part-time,Munich Re Specialty Group,Nan,London
Middle+ NLP Researcher/Engineer,£750 a day,Insilico Medicine,Nan,Remote
Data Science Lead (DV),Full-time,Sanderson Recruitment Plc,4.4,Manchester
Lead Analytics Consultant,"£38,194 - £50,834 a year",Hitachi Solutions Ltd,3.8,London
Data Science Engineer,"Full-time
+1",GCS Recruitment Specialists Ltd,5.0,Hybrid remote in London
Rail Performance Analytics Lead,"£75,000 - £80,000 a year",Amey plc,2.7,Manchester
Product Manager - Data & Analytics Specialist,Permanent,UBS,3.8,London
Machine Learning Engineer (AI Systems),Full-time,FXC Intelligence,Nan,London EC2Y
"Research Scientist Lead, NLP","£35,000 - £40,000 a year",Meta,4.1,London
Senior AI Software Seller,Permanent,Hewlett Packard Enterprise,3.8,Lytham
HEAD OF DATA SCIENCE – Hybrid,Permanent,Harnham,4.6,Leeds
Machine Learning Engineer,Full-time,Autodesk,4.1,Remote in London
Director of Data Science | Social Good (Non Profit).,Monday to Friday,Nicholson Glover Consulting,Nan,London
Chief Consultant / Data Scientist Wind & Site and Asset Management – Offshore Wind Advisory,"£35,308 - £43,155 a year",Rambøll,3.9,Hybrid remote in London SE1
Senior Data Scientist PhD – Canary Wharf,Fixed term contract,Nexus Recruitment,Nan,London
Machine Learning Engineer,"£100,000 a year",Harrington Starr,Nan,London
Senior Statistical Programmer,Permanent,IQVIA,3.8,Remote
Growth Analytics Analyst - Insights,"£155,000 - £165,000 a year",Mondelēz International,3.9,Uxbridge
FinTech Lead Data Scientist,Permanent,Metrica Recruitment,Nan,London
Senior Data Scientist/ Machine Learning Developer,"£30,000 - £55,000 a year",Jewels Recruitment,Nan,London
Software Engineer - Machine Learning (PyTorch),Permanent,Kumo,Nan,Remote in London
Middle+ NLP Researcher/Engineer,"£39,500 - £51,000 a year",Insilico Medicine,Nan,Remote
Lead Data Scientist,Full-time,Harnham,4.6,+2 locations
Applied AI Lead - Vice President - Digital Investment Bank - London,"Monday to Friday
+1","JPMorgan Chase Bank, N.A.",4.1,London
Senior Data Scientist PhD – Canary Wharf,"£40,000 - £55,000 a year",Nexus Recruitment,Nan,London
Lead Analytics Consultant,Permanent,Hitachi Solutions Ltd,3.8,London
Senior Machine Learning Scientist,"£28,929 - £43,155 a year",FinTrU,3.2,Hybrid remote in London
Senior NLP Data Scientist,Fixed term contract,Harnham,4.6,London
Research Scientists in Machine Learning(ML),Full-time,JD.com,Nan,Cambridge
"Research Scientist Lead, NLP",Permanent,Meta,4.1,London
Marketing Data Scientist,"Up to £55,000 a year",Harnham,4.6,London
Senior ML/AI Research Specialist,Overtime,BMT Group,Nan,Hybrid remote in Bath
Head of Artificial Intelligence & Machine Learning (AI/ML) Operations,"£70,001 - £80,000 a year",GSK,4.1,London N1C
Rail Performance Analytics Lead,Permanent,Amey plc,2.7,Manchester
Data Science Manager – Retail,"£46,244 - £53,789 a year",Harnham,4.6,London
Trainee Specialist Consultant (AI & Data Science),Fixed term contract,Oxygen Digital Recruitment,4.8,Chelmsford
Senior Backend Engineer – Train in Machine Learning – Full Remote,Full-time,Propel Together,Nan,Remote in United Kingdom
Director of Data Science | Social Good (Non Profit).,Full-time,Nicholson Glover Consulting,Nan,London
Quality Risk Analytics Manager,"£36,333 a year",IQVIA,3.8,Remote
Senior Data Scientist,"Full-time
+1",Michael Bailey Associates,3.6,England
Data Science Consultant,"£48,614 a year",Metrica Recruitment,West London,+2 locations
Research Associate in Speech Processing and Machine Learning for Detecting Cognitive Impairment,"Full-time
+1",University of Sheffield,4.4,Sheffield
Data Scientist (Senior Level),"£80,001 - £100,000 a year",Harnham,4.6,London
#AGGP Machine Learning Software Engineer,Permanent,Airbus,4.1,Filton
Data Science Lead,"Permanent
+1",System Recruitment,Nan,Southampton
Lecturer in Security and Crime Science Specialism in statistics and data science,"£103,589 - £120,854 a year",University College London,4.1,London
Graduate Apprentice Systems Engineer,Permanent,ITI Group,3.9,Hybrid remote in Aberdeen
Data Science Manager,"£80,000 - £90,000 a year",Harnham,4.6,London
"Senior Data Scientist- Python, SQL, ML & GCP - Fully Remote",Permanent,Sanderson Recruitment Plc,4.4,Remote in London
Lead Data Scientist,Full-time,Nigel Frank International Limited,2.8,Hybrid remote in Epsom
"Senior Researcher,Natural Language Processing","£100,000 - £120,000 a year",Tencent,Nan,Hybrid remote in London
Data Engineer/Scientist,Permanent,Cathcart Associates,Nan,Remote
Senior Python Engineer – AI Unicorn – London Scale Up,"£70,001 - £80,000 a year",Propel Together,Nan,London
"LEAD ENGINEER, MACHINE LEARNING",Permanent,DraftKings,Nan,London
Digital Analytics & CRO Analyst,"£80,000 - £90,000 a year",Codal,Nan,Lincoln LN2
Machine Learning Ecosystem Engineer,Permanent,Arm,4.1,Hybrid remote in Cambridge
Senior Data Scientist - Hybrid - Surrey,"£50,000 - £65,000 a year",Nigel Frank International Limited,2.8,Hybrid remote in London
Senior Finance Data Scientist,Permanent,Next Ventures Limited,3.5,London
Data Science Manager - Greenfield Project,"£75,000 - £90,000 a year",Michael Page,3.7,London
"Director, Data Risk & Analytics, Government & Public Sector, Risk Advisory","Full-time
+1",Deloitte,3.9,London
Head of Analytics,Full-time,InPost UK,Nan,Hybrid remote in London W1F
Principal Design Analytics Lead (Home based/Europe wide),£250 - £300 a week,IQVIA,3.8,Remote
Data Analytics Engineer (Azure Synapse and Power Platform) - KTP Associate,Fixed term contract,Birmingham City University,4.1,Birmingham
Senior Data Analyst,"£150,000 - £175,000 a year",Ashdown Group,4.6,Hybrid remote in West London
Data Science Director,Permanent,Harnham,4.6,London
Senior Research Fellow in Applied Statistics or Data Science,"£86,324 - £103,589 a year",University College London,4.1,London
Data Science Engineer,Permanent,Robert Walters,3.7,London
Director Data Analytics Consulting,"Full-time
+1",EPAM Systems,3.8,London
Anti-Financial Crime (AFC) Modelling – Tuning and Optimisation Data Scientist/ Analyst,Full-time,Deutsche Bank,3.8,Hybrid remote in London
Machine Learning Engineer - LLMs,"£1,000 a month",Understanding Recruitment,Nan,London
BI & DATA ANALYTICS CONSULTANT – REMOTE,Permanent,Asset Resourcing,Nan,Remote
Pricing Data Science Lead,Permanent,Eames Consulting,4.3,London
Senior Machine Learning Engineer,Permanent,Monzo,3.7,Remote in London
"Senior Consultant, Data & Analytics, Assurance, Belfast",Full-time,EY,3.9,Hybrid remote in Belfast BT2
Lead Data Scientist,Full-time,RELX,Nan,Wales
Sales Specialist Data Analytics,"£75,000 - £92,000 a year",L3Harris Technologies,3.9,Whiteley
Machine Learning Engineer,Permanent,Understanding Recruitment,Nan,Remote in London
Head of Commercial Analytics,£175 - £210 a day,TUI,3.7,Luton
Lead AI/ML Engineer,Freelance,Oxford Medical Simulation,Nan,Remote in London SE1
Rail Performance Analytics Lead,Permanent,Amey,3.1,Manchester
(Principal) Statistical Programmer - Europe remote,Full-time,IQVIA,3.8,Remote
Lecturer\Senior Lecturer in Applied AI in Engineering,Full-time,University of Bristol,4.2,Bristol BS8
Senior Analytics Consultant,"£100,000 - £140,000 a year",Hitachi Solutions Ltd,3.8,London
Big Data Analyst,Permanent,Nexus Recruitment,Nan,London
"Advisor, Data Science Management Consultant",Full-time,GHD,3.5,London
Data Science Lead - DV CLEARED,"£100,000 a year",Service Care,3.4,Manchester M40
"Software Engineer (Machine Learning), London",Permanent,Isomorphic Labs,Nan,Hybrid remote in London
AI Specialist,Full-time,RMG Digital,Nan,Remote in Kingston upon Hull
Senior/Principal Data Science Engineer,£400 - £475 a day,Medtronic,3.9,London
AI Data Engineer Vacancy - 6 months,"Full-time
+1",Opus Recruitment Solutions,4.6,Remote in London
Machine Learning Engineer,"£80,000 - £140,000 a year",Dome Recruitment,Nan,London
Senior/Lead Data Analytics Consultant - Fashion and Luxury goods,Full-time,EPAM Systems,3.8,London
Machine Learning Engineer,Full-time,Oxygen Digital Recruitment,4.8,London
Lead ML Engineer,"£65,000 - £75,000 a year",Collinson,3.4,Hybrid remote in London SE1
Machine Learning Engineer,Full-time,Robert Walters,3.7,Remote in London
"Senior Data Scientist, Protein Sequencing",Permanent,Oxford Nanopore Technologies,Nan,Oxford
Quant Trading Fund Hiring Deep Learning Researcher / Global,Full-time,Eka Finance,Nan,London
Senior Data Scientist,"£70,000 - £85,000 a year",Yolk Recruitment,4.3,Cardiff
Machine Learning Engineer - NLP,Permanent,Understanding Recruitment,Nan,Bedford
Specialist Solutions Architect (Data Engineering & Data Science/ML),"Full-time
+1",Databricks,Nan,Remote in London
Research Fellow in Software Engineering and Machine Learning,£400 - £475 a day,University of Leeds,4.2,Leeds
Senior Applied Machine Learning Scientist,"Full-time
+1",Thomson Reuters,3.9,Hybrid remote in London E14
Senior AI/ML Engineer - Sequence Learning,"Full-time
+1",GSK,4.1,London N1C
Research Fellow Natural Language Processing - School of Government - 101731 - Grade 8,"£70,000 - £80,000 a year",University of Birmingham,4.0,Birmingham
AI-Quant - Senior,Permanent,Crypton Partner Management,Nan,London W1D
Machine Learning Engineer,Full-time,Skills Alliance,4.2,London EC2Y
Housing Statistician,Full-time,"Department for Levelling Up, Housing and...",Nan,London
Life Actuary with Data Science Experience,"£60,000 - £75,000 a year",Cathcart Associates,Nan,London
AI Solution Manager/Senior AI Solution Manager,Permanent,C3 AI,Nan,London
"VP, Finance Systems and Data",Full-time,Thomson Reuters,3.9,Hybrid remote in London E14
Data Science Manager (REMOTE),Full-time,Harnham,4.6,Remote in London
Machine Learning Operations Engineer (MLOps),Permanent,Fruition IT,4.6,Hybrid remote in London
CTO - Machine Learning Scale-Up,"£85,000 - £95,000 a year",Burns Sheehan,Nan,Hybrid remote in Brighton and Hove
Population Health Management Analytics Lead,Permanent,Arden and GEM Commissioning Support Unit,4.0,Hybrid remote in Milton Keynes MK3
Marketing Analytics and Effectiveness Specialist,"£80,000 - £110,000 a year",Impression Digital,Nan,Hybrid remote in London SE1
Sr. Machine Learning Engineer,"£100,000 a year",Galytix,Nan,London
"Senior Consultant, Strategy & Data Science - London",Permanent,Ekimetrics,Nan,London
Principal data scientist,Full-time,bp,3.8,Remote in London
Senior Data + Analytics Manager - Energy + Industrials,"£40,000 - £45,000 a year",Hill+Knowlton Strategies,Nan,London EC1R
Senior Analytics Engineer,Full-time,Monzo,3.7,Remote in London
Senior Machine Learning Engineer,"£36,333 - £37,386 a year",Brainpool,Nan,Remote
Big Data Consultant,Full-time,Metrica Recruitment,Nan,London
Machine Learning Engineer,"£56,111 - £64,743 a year",Pandora Jewelry,3.6,London
Analytics Architect,Permanent,TPXimpact,Nan,London SE1
Machine Learning Engineer,"£29,725 a year",SoCode,Nan,Hybrid remote in Cambridge
Senior Finance Data Science Manager,Full-time,Morgan McKinley,3.7,London
"Software Engineer; C++, AI, Machine Learning, Lond","£75,000 - £80,000 a year",re&m,Nan,South East
Machine Learning Bioinformatician,Permanent,Barrington James,4.0,Oxford
"Principal AI Scientist, ML, NLP","Full-time
+1",Richard Wheeler Associates,Nan,Hybrid remote in London
Full Stack Machine Learning Engineer,"Full-time
+1",Lawrence Harvey,Nan,London
Data Science Personalisation Manager,"£65,000 - £80,000 a year",Harnham,4.6,London
Big Data Engineering Lead,Permanent,Touchpoint Resource Ltd,Nan,London
"Chief Data Science and Data Engineering Officer, London",£700 - £800 a month,Elite Recruitment Group,London,+8 locations
Visual Analytics Consultant,"Up to £65,000 a year",Metrica Recruitment,Nan,London
AI Engineer,Full-time,Capita,3.1,London
Senior Data Scientist – TS Clearance Required,"£90,000 - £100,000 a year",Harnham,4.6,Remote
GCP Machine Learning Engineer,Full-time,Myles Roberts,Nan,Remote in Greater London
Machine Learning Engineer,"£36,000 - £40,000 a year",Metrica Recruitment,London,+1 location
Data Analytics Manager - Internal Audit (3rd Line of Defense),Full-time,British American Tobacco,4.3,London
"Pricing Strategy Data Science Manager, Secured","£55,000 - £70,000 a year",Datatech Analytics,Nan,Leeds
Analytics Product Manager,Permanent,SymphonyAI,Nan,Remote in London
AI Assurance Delivery Lead,"£80,000 - £95,000 a year",QinetiQ,3.7,Malvern
Senior Supply Chain Data Scientist - 12 Month Fixed Term Contract,Permanent,AstraZeneca,4.0,Hybrid remote in Macclesfield SK10
Analytics Engineer,Permanent,Virgin Media,3.5,London
Senior Analytics Engineer,Full-time,Funding Circle UK,3.5,Hybrid remote in London EC4V
Research Fellow/ Senior Research Fellow in Robotics and Machine Learning,"£32,000 - £34,000 a year",Heriot Watt University,4.0,Edinburgh
"Senior Data Science Consultant (R, Python, SQL)",Full-time,Nigel Frank International Limited,2.8,Remote in Luton
Senior Data Analytics Engineer - Up to £90k,"£85,000 a year",Adecco,3.7,Bristol
"2023 Applied Science Internship - Machine Learning, Deep Learning, NLP, NLU, Machine Translation",Permanent,Amazon EU SARL (UK Branch),3.5,Hybrid remote in London
Lead Machine Learning Engineer,"£130,000 - £150,000 a year",MBN Recruitment Solutions,Nan,London
Data Analytics Manager | S3 | COO | National,Permanent,Santander,3.9,Hybrid remote in Milton Keynes
Lead Analytics Application Engineer,"£48,614 - £57,041 a year",Bain & Company,4.3,London
AI Labs Senior Technical Researcher,"Full-time
+1",Version 1,4.1,Remote
Lead Data Scientist,"£80,000 - £90,000 a year",Metrica Recruitment,Manchester,+1 location
Principal Biostatistician / Statistical Scientist - Global BIOS,Permanent,IQVIA,3.8,Remote
Tech Lead / Senior Data & Analytics Engineer,"£65,000 a year",Adecco,3.7,Bristol
"Senior Software Engineer, Machine Learning","Full-time
+1",Roku,Nan,Cambridge CB4
Systematic Machine Learning Quant Researcher,"£100,000 - £120,000 a year",Eka Finance,Nan,London
Forecasting Analytics Manager,Permanent,Data Communications Company,3.4,London
Machine Learning Engineer,Part-time,Richard Wheeler Associates,Nan,Hybrid remote in London
Machine Learning Research Engineer,Full-time,Understanding Recruitment,Nan,Remote in St Albans
Econometric Analyst - Machine Learning,"£100,000 - £110,000 a year",Metrica Recruitment,Nan,London
Engineering Asset Manager,Permanent,Chessington World of Adventures,3.4,Chessington
Quantitative Analyst (Gas & LNG),"Full-time
+1",RELX,Nan,London
Optical/Deep Learning Engineer,Full-time,The One Group,4.5,Cambridge
"AI Engineer, ML, NLP",Full-time,Richard Wheeler Associates,Nan,Hybrid remote in London
Senior Data & Analytics Technical Director - Machine Learning/Artificial Intelligence (ML/AI),Full-time,EPAM Systems,3.8,Manchester
Transaction Monitoring Modelling & Analytics,"£40,745 - £45,737 a year",Harnham,4.6,London
Data Science Manager – Forecasting,Full-time,Harnham,4.6,Remote in London
Business Analytics & Insights Manager,£300 - £450 a day,Cpl Life Sciences,3.6,London
Machine Learning Engineer (Ethics),Full-time,Understanding Recruitment,Nan,London
Head of Machine Learning Engineer,£700 - £735 a day,Harnham,4.6,London
High Profile MOD Statistical Analyst,Temporary contract,Ministry of Defence,4.1,Hybrid remote in London BS34
DevOps ML Engineer,"£35,000 - £50,000 a year",Harnham,4.6,Hybrid remote in London
Senior Machine Learning Engineer,"Full-time
+1",Oho Group,Cambridge,+1 location
Machine Learning Research Engineer,Permanent,ECM Selection,Nan,Cambridgeshire
Data Science Manager (Audit),"£70,000 - £90,000 a year",Apollo Solutions,Nan,Hybrid remote in London
Analytics Engineer,"Full-time
+1",Harnham,4.6,Remote in Birmingham
Senior Analyst - Cost Analytics,Permanent,Sky,3.4,Hybrid remote in Osterley
Health Analytics Health Economist Consultant/Senior Consultant,Permanent,Lane Clark & Peacock,4.3,Hybrid remote in London
"Senior Director, Advanced Analytics and Data Science","£70,000 - £80,000 a year",Orchard Therapeutics,4.7,London
"Senior Advisor, Data Science Management Consultant",Permanent,GHD,3.5,London
Data Science Lead,"£36,333 - £43,155 a year",Cubica,3.2,Manchester
"Product Manager, Endeavor Analytics","Full-time
+1","Endeavor Operating Company, LLC",Nan,London
Machine Learning Research Engineer (SC Clearence),Full-time,Understanding Recruitment,Nan,Remote in St Albans
R&D ML Engineer,"£44,414 - £52,841 a year",MBN Recruitment Solutions,Nan,Hybrid remote in London
Principal Machine Learning Engineer,Full-time,Noon Academy,Nan,Hybrid remote in London SE1
FSP Senior Statistician,"£150,000 a year",PHASTAR,Nan,Remote
Data Analytics In-Business QA - VP (Hybrid),"Full-time
+1",Citi,3.9,Hybrid remote in London
Senior Data Science Analyst,"£39,884 a year",Robert Walters,3.7,London
"Research Fellow in Machine Learning, Deep Learning and Artificial Intelligence (Fixed term)","Full-time
+2",University of Nottingham,4.0,Sutton Bonington
One Demand Data Analytics (ODDA) DevOps Engineer,£650 - £675 a month,Mars,3.8,Slough SL1
Director of Marketing Analytics,Full-time,Harnham,4.6,Remote
Supply Chain Digital and Analytics Delivery Lead,"£86,324 - £103,589 a year",AstraZeneca,4.0,Macclesfield SK10
Head of Analytics,Permanent,Metrica Recruitment,Nan,London
Senior Machine Learning Engineer,"£55,000 - £75,000 a year",FinTrU,3.2,Hybrid remote in London
"Research Fellow in Computational Design, Machine Learning and Designer-Computer Interaction in Architecture",Permanent,Oxford Brookes University,4.3,Headington
NLP – Research Director – Large language modelling,"£160,000 - £200,000 a year",Barclay Simpson,Nan,London
Senior Software Engineer - Machine Learning (Ads) (Remote - United Kingdom),Permanent,Yelp,3.3,Remote
Senior Machine Learning Engineer - Search & Recommendations,"£50,952 - £57,349 a year",Roku,Nan,Cambridge CB4
Machine Learning Research Engineer – Privacy Preserving (open to Permanent or 6 Month Contract),Full-time,Samsung Electronics,4.0,Hybrid remote in Staines-upon-Thames
PhD Java Developer - Data Science and ML,"£35,000 - £43,000 a year",Understanding Recruitment,Nan,Remote in London
Senior Data Analytics Platform Project Manager,Full-time,Salt Recruitment,3.3,Hybrid remote in West Yorkshire
Lead AI Engineer,Part-time,Lawrence Harvey,Nan,Remote in London
Deutsche Bank Group Strategic Analytics (GSA) Quantitative Strat – Control Strats,"£60,000 - £95,000 a year",Deutsche Bank,3.8,London
"Principal Research Scientist (Machine Learning), London",Full-time,Isomorphic Labs,Nan,Hybrid remote in London
AI Solution Manager (Supply Chain),"£60,000 - £80,000 a year",C3 AI,Nan,London
Data Science Engineer Manager,Full-time,Apollo Solutions,Nan,Hybrid remote in London
Data Science Manager – Pricing,Full-time,Harnham,4.6,+1 location
Senior Research Fellow Natural Language Processing - School of Government - 101730 - Grade 9,Permanent,University of Birmingham,4.0,Birmingham
"Principal Engineer, Technical Software and Data Science","£60,000 - £90,000 a year",Element Materials Technology,3.1,Hybrid remote in Cambridge CB4
Principal Machine Learning Engineer,Permanent,Hawk-Eye Innovations,3.3,London
Senior Statistical Programmer,"£85,000 - £90,000 a year",PHASTAR,Nan,Remote in Chiswick W4
"Pricing Transformation Analytics Manager, Mortgages",Permanent,Datatech Analytics,Nan,London
Data Science Engineering Manager,"£30,000 - £50,000 a year",Robert Walters,3.7,London
"2023 Applied Science Internship - Machine Learning, Deep Learning, Text-to-Speech",Permanent,Amazon EU SARL (UK Branch),3.5,Hybrid remote in Cambridgeshire
Senior Machine Learning Engineer - MarTech,"Full-time
+1",Roku,Nan,Hybrid remote in Manchester M1
Research Scientists in Machine Learning for Biogeochemical Modelling,"£80,000 - £105,000 a year",National Oceanography Centre,Nan,Hybrid remote in Southampton
Machine Learning DevOps,"Full-time
+1",Spier Consulting,Nan,London
Senior Software Engineer (Machine Learning),"£55,000 - £65,000 a year",Platform Recruitment,Nan,Hybrid remote in Cambridge
Lead Machine Learning Engineer,Permanent,Metrica Recruitment,Nan,London
Marketing Data Science Manager,"£65,000 - £80,000 a year",Metrica Recruitment,Nan,Bedfordshire
Advanced Analytics Consultant,Permanent,Metrica Recruitment,Nan,London
Maintenance Analytics Manager,"Up to £100,000 a year",Petroplan,4.6,London
Artificial Intelligence lead,Full-time,Michael Bailey Associates,3.6,Remote in England
Lead Data Engineer - AI Consultancy - London,"Part-time
+1",Touchpoint Resource Ltd,Nan,London
Analytics Engineer,"£40,000 - £60,000 a year",Metrica Recruitment,Nan,London
"FSP Senior/Principal Statistical Programmer (oncology) - UK, France, Spain, Germany, Denmark, India",Full-time,PHASTAR,Nan,Remote
Senior Digital Analytics Implementation Engineer,Full-time,Virgin Media,3.5,London
Senior Machine Learning Engineer - Well Funded Startup - London,Permanent,Touchpoint Resource Ltd,Nan,London
Product Manager - High Growth Tech Company - IoT/Telematics/Analytics - London,£625 - £675 a day,Touchpoint Resource Ltd,Nan,Hybrid remote in London Bridge Station
"Senior Biostatistician, Real World Evidence (EMEA)","£50,000 - £60,000 a year",IQVIA,3.8,Hybrid remote in London
Senior Data Engineer – Analytics Consultancy,Full-time,Harnham,4.6,Remote in Birmingham
Analytics Manager - Market Research,Permanent,Metrica Recruitment,Nan,Surrey
Senior Biostatistician,"£67,000 a year",IQVIA,3.8,Remote
Senior Analyst - Analytics and Reporting,Permanent,Sky,3.4,Hybrid remote in Osterley
Senior Statistician/ Statistical Science Associate Director (Principal level) – Early Respiratory & Immunology / Early Vaccines & Immune Therapies/ Early Neuroscience,Full-time,AstraZeneca,4.0,Macclesfield SK10
Senior Biostatistician - Global BIOS,Full-time,IQVIA,3.8,Remote
Senior Machine Learning Software Engineer,Full-time,Modis UK,Nan,Cambridge
Senior Biostatistician - Biotech,Full-time,IQVIA,3.8,Remote
Lead Analytics Engineer,"£44,414 - £63,059 a year",Travelex,3.4,Hybrid remote in London
Quantitative Analyst (Gas & LNG),"Full-time
+1",Risk Solutions,3.9,London
Senior Machine Learning Engineer - Leading Data/ AI Consultancy - London,"£50,000 - £70,000 a year",Touchpoint Resource Ltd,Nan,London
Senior Digital Marketing Analytics Consultant,"Full-time
+1",Metrica Recruitment,Nan,London
Senior AI Engineer,Permanent,Capita,3.1,London
Product Management Lead - Machine Learning - EdTech,Full-time,Michael Page,3.7,Remote in London
Senior Machine Learning Engineer,Monday to Friday,Robert Walters,3.7,London
Integrated Analytics Lead Developer,"£100,000 a year",Next Ventures Limited,3.5,London
Senior Business Analyst - Hybrid - Surrey,Permanent,Nigel Frank International Limited,2.8,Hybrid remote in Surrey
Junior Data Scientist,Full-time,PhysicsX,Nan,Hybrid remote in London
Data Scientist,Full-time,Talenting,Hybrid remote in London,+1 location
Data Scientist,Full-time,PhysicsX,Nan,Hybrid remote in London
Data Scientist,"£80,000 a year",TW,Nan,Remote in Nottingham
Data Scientist,Full-time,PIB Group,2.7,Remote
Data Scientist,Full-time,Morrisons,3.2,Bradford BD3
Data Scientist,"£70,000 - £90,000 a year","Surfline\Wavetrak, Inc.",Nan,Remote in Plymouth
Data Scientist,Permanent,Crimtan,Nan,Hybrid remote in Hove
Junior Data Scientist (Commercial),Permanent,Salary Finance,3.4,Hybrid remote in London
Data Scientist,Permanent,Stenn,Nan,London
